T,i1,f1,i2,f2,k_VV
2200.0,3,2,5,6,6.574485109888153e-12
2200.0,3,4,1,0,1.4038006760493405e-12
2200.0,3,4,2,1,2.890885048907543e-12
2200.0,3,4,3,2,4.4341564412409705e-12
2200.0,3,4,4,3,5.99821754048187e-12
2200.0,3,4,5,4,7.544964776627634e-12
2200.0,3,4,6,5,9.036732703294266e-12
2200.0,4,3,0,1,1.4038006760493405e-12
2200.0,4,3,1,2,2.890885048907543e-12
2200.0,4,3,2,3,4.4341564412409705e-12
2200.0,4,3,3,4,5.99821754048187e-12
2200.0,4,3,4,5,7.544964776627634e-12
2200.0,4,3,5,6,9.036732703294266e-12
2200.0,4,5,1,0,1.7251925250129668e-12
2200.0,4,5,2,1,3.579053160557956e-12
2200.0,4,5,3,2,5.532774158851555e-12
2200.0,4,5,4,3,7.544964776627634e-12
2200.0,4,5,5,4,9.568351903338783e-12
2200.0,4,5,6,5,1.155354859712836e-11
2200.0,5,4,0,1,1.7251925250129668e-12
2200.0,5,4,1,2,3.579053160557956e-12
2200.0,5,4,2,3,5.532774158851555e-12
2200.0,5,4,3,4,7.544964776627634e-12
2200.0,5,4,4,5,9.568351903338783e-12
2200.0,5,4,5,6,1.155354859712836e-11
2200.0,5,6,1,0,2.0201368336863897e-12
2200.0,5,6,2,1,4.2208077964907545e-12
2200.0,5,6,3,2,6.574485109888153e-12
2200.0,5,6,4,3,9.036732703294266e-12
2200.0,5,6,5,4,1.155354859712836e-11
2200.0,5,6,6,5,1.4065268024452696e-11
2200.0,6,5,0,1,2.0201368336863897e-12
2200.0,6,5,1,2,4.2208077964907545e-12
2200.0,6,5,2,3,6.574485109888153e-12
2200.0,6,5,3,4,9.036732703294266e-12
2200.0,6,5,4,5,1.155354859712836e-11
2200.0,6,5,5,6,1.4065268024452696e-11
2833.3333333333335,0,1,1,0,4.888228092687793e-13
2833.3333333333335,0,1,2,1,9.841882547398722e-13
2833.3333333333335,0,1,3,2,1.477801113484429e-12
2833.3333333333335,0,1,4,3,1.96059914835481e-12
2833.3333333333335,0,1,5,4,2.424002523481073e-12
2833.3333333333335,0,1,6,5,2.8604108625819087e-12
2833.3333333333335,1,0,0,1,4.888228092687793e-13
2833.3333333333335,1,0,1,2,9.841882547398722e-13
2833.3333333333335,1,0,2,3,1.477801113484429e-12
2833.3333333333335,1,0,3,4,1.96059914835481e-12
2833.3333333333335,1,0,4,5,2.424002523481073e-12
2833.3333333333335,1,0,5,6,2.8604108625819087e-12
2833.3333333333335,1,2,1,0,9.841882547398722e-13
2833.3333333333335,1,2,2,1,1.990967012569554e-12
2833.3333333333335,1,2,3,2,3.0049789174246943e-12
2833.3333333333335,1,2,4,3,4.007807800499785e-12
2833.3333333333335,1,2,5,4,4.981208233595655e-12
2833.3333333333335,1,2,6,5,5.908352914874636e-12
2833.3333333333335,2,1,0,1,9.841882547398722e-13
2833.3333333333335,2,1,1,2,1.990967012569554e-12
2833.3333333333335,2,1,2,3,3.0049789174246943e-12
2833.3333333333335,2,1,3,4,4.007807800499785e-12
2833.3333333333335,2,1,4,5,4.981208233595655e-12
2833.3333333333335,2,1,5,6,5.908352914874636e-12
2833.3333333333335,2,3,1,0,1.477801113484429e-12
2833.3333333333335,2,3,2,1,3.0049789174246943e-12
2833.3333333333335,2,3,3,2,4.560561587954377e-12
2833.3333333333335,2,3,4,3,6.116983828777745e-12
2833.3333333333335,2,3,5,4,7.64565733484183e-12
2833.3333333333335,2,3,6,5,9.119119588006034e-12
2833.3333333333335,3,2,0,1,1.477801113484429e-12
2833.3333333333335,3,2,1,2,3.0049789174246943e-12
2833.3333333333335,3,2,2,3,4.560561587954377e-12
2833.3333333333335,3,2,3,4,6.116983828777745e-12
2833.3333333333335,3,2,4,5,7.64565733484183e-12
2833.3333333333335,3,2,5,6,9.119119588006034e-12
2833.3333333333335,3,4,1,0,1.96059914835481e-12
2833.3333333333335,3,4,2,1,4.007807800499785e-12
2833.3333333333335,3,4,3,2,6.116983828777745e-12
2833.3333333333335,3,4,4,3,8.25238623870039e-12
2833.3333333333335,3,4,5,4,1.0375170672791604e-11
2833.3333333333335,3,4,6,5,1.2446441169359547e-11
2833.3333333333335,4,3,0,1,1.96059914835481e-12
2833.3333333333335,4,3,1,2,4.007807800499785e-12
2833.3333333333335,4,3,2,3,6.116983828777745e-12
2833.3333333333335,4,3,3,4,8.25238623870039e-12
2833.3333333333335,4,3,4,5,1.0375170672791604e-11
2833.3333333333335,4,3,5,6,1.2446441169359547e-11
2833.3333333333335,4,5,1,0,2.424002523481073e-12
2833.3333333333335,4,5,2,1,4.981208233595655e-12
2833.3333333333335,4,5,3,2,7.64565733484183e-12
2833.3333333333335,4,5,4,3,1.0375170672791604e-11
2833.3333333333335,4,5,5,4,1.3121638401433003e-11
2833.3333333333335,4,5,6,5,1.5834804653079252e-11
2833.3333333333335,5,4,0,1,2.424002523481073e-12
2833.3333333333335,5,4,1,2,4.981208233595655e-12
2833.3333333333335,5,4,2,3,7.64565733484183e-12
2833.3333333333335,5,4,3,4,1.0375170672791604e-11
2833.3333333333335,5,4,4,5,1.3121638401433003e-11
2833.3333333333335,5,4,5,6,1.5834804653079252e-11
2833.3333333333335,5,6,1,0,2.8604108625819087e-12
2833.3333333333335,5,6,2,1,5.908352914874636e-12
2833.3333333333335,5,6,3,2,9.119119588006034e-12
2833.3333333333335,5,6,4,3,1.2446441169359547e-11
2833.3333333333335,5,6,5,4,1.5834804653079252e-11
2833.3333333333335,5,6,6,5,1.922367585566707e-11
2833.3333333333335,6,5,0,1,2.8604108625819087e-12
2833.3333333333335,6,5,1,2,5.908352914874636e-12
2833.3333333333335,6,5,2,3,9.119119588006034e-12
2833.3333333333335,6,5,3,4,1.2446441169359547e-11
2833.3333333333335,6,5,4,5,1.5834804653079252e-11
2833.3333333333335,6,5,5,6,1.922367585566707e-11
3466.666666666667,0,1,1,0,6.340489967041276e-13
3466.666666666667,0,1,2,1,1.2759124548322197e-12
3466.666666666667,0,1,3,2,1.9177427414193246e-12
3466.666666666667,0,1,4,3,2.5502543729608888e-12
3466.666666666667,0,1,5,4,3.164379421952171e-12
3466.666666666667,0,1,6,5,3.751805115461449e-12
3466.666666666667,1,0,0,1,6.340489967041276e-13
3466.666666666667,1,0,1,2,1.2759124548322197e-12
3466.666666666667,1,0,2,3,1.9177427414193246e-12
3466.666666666667,1,0,3,4,2.5502543729608888e-12
3466.666666666667,1,0,4,5,3.164379421952171e-12
3466.666666666667,1,0,5,6,3.751805115461449e-12
3466.666666666667,1,2,1,0,1.2759124548322197e-12
3466.666666666667,1,2,2,1,2.5751408472784505e-12
3466.666666666667,1,2,3,2,3.884051066937621e-12
3466.666666666667,1,2,4,3,5.184251478305189e-12
3466.666666666667,1,2,5,4,6.45700431494339e-12
3466.666666666667,1,2,6,5,7.68456091591407e-12
3466.666666666667,2,1,0,1,1.2759124548322197e-12
3466.666666666667,2,1,1,2,2.5751408472784505e-12
3466.666666666667,2,1,2,3,3.884051066937621e-12
3466.666666666667,2,1,3,4,5.184251478305189e-12
3466.666666666667,2,1,4,5,6.45700431494339e-12
3466.666666666667,2,1,5,6,7.68456091591407e-12
3466.666666666667,2,3,1,0,1.9177427414193246e-12
3466.666666666667,2,3,2,1,3.884051066937621e-12
3466.666666666667,2,3,3,2,5.881310331748691e-12
3466.666666666667,2,3,4,3,7.882409524342006e-12
3466.666666666667,2,3,5,4,9.858544699412004e-12
3466.666666666667,2,3,6,5,1.1781508670168947e-11
3466.666666666667,3,2,0,1,1.9177427414193246e-12
3466.666666666667,3,2,1,2,3.884051066937621e-12
3466.666666666667,3,2,2,3,5.881310331748691e-12
3466.666666666667,3,2,3,4,7.882409524342006e-12
3466.666666666667,3,2,4,5,9.858544699412004e-12
3466.666666666667,3,2,5,6,1.1781508670168947e-11
3466.666666666667,3,4,1,0,2.5502543729608888e-12
3466.666666666667,3,4,2,1,5.184251478305189e-12
3466.666666666667,3,4,3,2,7.882409524342006e-12
3466.666666666667,3,4,4,3,1.0609807599613257e-11
3466.666666666667,3,4,5,4,1.3327728856493428e-11
3466.666666666667,3,4,6,5,1.5996947168749987e-11
3466.666666666667,4,3,0,1,2.5502543729608888e-12
3466.666666666667,4,3,1,2,5.184251478305189e-12
3466.666666666667,4,3,2,3,7.882409524342006e-12
3466.666666666667,4,3,3,4,1.0609807599613257e-11
3466.666666666667,4,3,4,5,1.3327728856493428e-11
3466.666666666667,4,3,5,6,1.5996947168749987e-11
3466.666666666667,4,5,1,0,3.164379421952171e-12
3466.666666666667,4,5,2,1,6.45700431494339e-12
3466.666666666667,4,5,3,2,9.858544699412004e-12
3466.666666666667,4,5,4,3,1.3327728856493428e-11
3466.666666666667,4,5,5,4,1.681674261992102e-11
3466.666666666667,4,5,6,5,2.027543222177901e-11
3466.666666666667,5,4,0,1,3.164379421952171e-12
3466.666666666667,5,4,1,2,6.45700431494339e-12
3466.666666666667,5,4,2,3,9.858544699412004e-12
3466.666666666667,5,4,3,4,1.3327728856493428e-11
3466.666666666667,5,4,4,5,1.681674261992102e-11
3466.666666666667,5,4,5,6,2.027543222177901e-11
3466.666666666667,5,6,1,0,3.751805115461449e-12
3466.666666666667,5,6,2,1,7.68456091591407e-12
3466.666666666667,5,6,3,2,1.1781508670168947e-11
3466.666666666667,5,6,4,3,1.5996947168749987e-11
3466.666666666667,5,6,5,4,2.027543222177901e-11
3466.666666666667,5,6,6,5,2.4556718972246888e-11
3466.666666666667,6,5,0,1,3.751805115461449e-12
3466.666666666667,6,5,1,2,7.68456091591407e-12
3466.666666666667,6,5,2,3,1.1781508670168947e-11
3466.666666666667,6,5,3,4,1.5996947168749987e-11
3466.666666666667,6,5,4,5,2.027543222177901e-11
3466.666666666667,6,5,5,6,2.4556718972246888e-11
4100.0,0,1,1,0,7.863601082377012e-13
4100.0,0,1,2,1,1.581272441351327e-12
4100.0,0,1,3,2,2.377675937785464e-12
4100.0,0,1,4,3,3.1662675807847202e-12
4100.0,0,1,5,4,3.937703540669326e-12
4100.0,0,1,6,5,4.68319982105517e-12
4100.0,1,0,0,1,7.863601082377012e-13
4100.0,1,0,1,2,1.581272441351327e-12
4100.0,1,0,2,3,2.377675937785464e-12
4100.0,1,0,3,4,3.1662675807847202e-12
4100.0,1,0,4,5,3.937703540669326e-12
4100.0,1,0,5,6,4.68319982105517e-12
4100.0,1,2,1,0,1.581272441351327e-12
4100.0,1,2,2,1,3.1847373391918623e-12
4100.0,1,2,3,2,4.79935851631675e-12
4100.0,1,2,4,3,6.4071988922480056e-12
4100.0,1,2,5,4,7.989422330886637e-12
4100.0,1,2,6,5,9.527800653694392e-12
4100.0,2,1,0,1,1.581272441351327e-12
4100.0,2,1,1,2,3.1847373391918623e-12
4100.0,2,1,2,3,4.79935851631675e-12
4100.0,2,1,3,4,6.4071988922480056e-12
4100.0,2,1,4,5,7.989422330886637e-12
4100.0,2,1,5,6,9.527800653694392e-12
4100.0,2,3,1,0,2.377675937785464e-12
4100.0,2,3,2,1,4.79935851631675e-12
4100.0,2,3,3,2,7.252383249451391e-12
4100.0,2,3,4,3,9.710784322647336e-12
4100.0,2,3,5,4,1.2146091532025943e-11
4100.0,2,3,6,5,1.4529933829981838e-11
4100.0,3,2,0,1,2.377675937785464e-12
4100.0,3,2,1,2,4.79935851631675e-12
4100.0,3,2,2,3,7.252383249451391e-12
4100.0,3,2,3,4,9.710784322647336e-12
4100.0,3,2,4,5,1.2146091532025943e-11
4100.0,3,2,5,6,1.4529933829981838e-11
4100.0,3,4,1,0,3.1662675807847202e-12
4100.0,3,4,2,1,6.4071988922480056e-12
4100.0,3,4,3,2,9.710784322647336e-12
