T,i1,f1,i2,f2,k_VV
933.3333333333334,6,5,3,4,1.4510624969247742e-12
933.3333333333334,6,5,4,5,1.910075650535296e-12
933.3333333333334,6,5,5,6,2.3509443465376297e-12
1566.6666666666667,0,1,1,0,1.1502700140291309e-13
1566.6666666666667,0,1,2,1,2.307069901308053e-13
1566.6666666666667,0,1,3,2,3.416757107701542e-13
1566.6666666666667,0,1,4,3,4.430699880849808e-13
1566.6666666666667,0,1,5,4,5.310747767815553e-13
1566.6666666666667,0,1,6,5,6.031813108260034e-13
1566.6666666666667,1,0,0,1,1.1502700140291309e-13
1566.6666666666667,1,0,1,2,2.307069901308053e-13
1566.6666666666667,1,0,2,3,3.416757107701542e-13
1566.6666666666667,1,0,3,4,4.430699880849808e-13
1566.6666666666667,1,0,4,5,5.310747767815553e-13
1566.6666666666667,1,0,5,6,6.031813108260034e-13
1566.6666666666667,1,2,1,0,2.307069901308053e-13
1566.6666666666667,1,2,2,1,4.700270309531554e-13
1566.6666666666667,1,2,3,2,7.070211434506094e-13
1566.6666666666667,1,2,4,3,9.306813801772445e-13
1566.6666666666667,1,2,5,4,1.1313886086716665e-12
1566.6666666666667,1,2,6,5,1.3018755540115723e-12
1566.6666666666667,2,1,0,1,2.307069901308053e-13
1566.6666666666667,2,1,1,2,4.700270309531554e-13
1566.6666666666667,2,1,2,3,7.070211434506094e-13
1566.6666666666667,2,1,3,4,9.306813801772445e-13
1566.6666666666667,2,1,4,5,1.1313886086716665e-12
1566.6666666666667,2,1,5,6,1.3018755540115723e-12
1566.6666666666667,2,3,1,0,3.416757107701542e-13
1566.6666666666667,2,3,2,1,7.070211434506094e-13
1566.6666666666667,2,3,3,2,1.0805127992220272e-12
1566.6666666666667,2,3,4,3,1.444790377059052e-12
1566.6666666666667,2,3,5,4,1.7830294051835325e-12
1566.6666666666667,2,3,6,5,2.0809671689187573e-12
1566.6666666666667,3,2,0,1,3.416757107701542e-13
1566.6666666666667,3,2,1,2,7.070211434506094e-13
1566.6666666666667,3,2,2,3,1.0805127992220272e-12
1566.6666666666667,3,2,3,4,1.444790377059052e-12
1566.6666666666667,3,2,4,5,1.7830294051835325e-12
1566.6666666666667,3,2,5,6,2.0809671689187573e-12
1566.6666666666667,3,4,1,0,4.430699880849808e-13
1566.6666666666667,3,4,2,1,9.306813801772445e-13
1566.6666666666667,3,4,3,2,1.444790377059052e-12
1566.6666666666667,3,4,4,3,1.9628768328885295e-12
1566.6666666666667,3,4,5,4,2.460746869727395e-12
1566.6666666666667,3,4,6,5,2.9155725315894194e-12
1566.6666666666667,4,3,0,1,4.430699880849808e-13
1566.6666666666667,4,3,1,2,9.306813801772445e-13
1566.6666666666667,4,3,2,3,1.444790377059052e-12
1566.6666666666667,4,3,3,4,1.9628768328885295e-12
1566.6666666666667,4,3,4,5,2.460746869727395e-12
1566.6666666666667,4,3,5,6,2.9155725315894194e-12
1566.6666666666667,4,5,1,0,5.310747767815553e-13
1566.6666666666667,4,5,2,1,1.1313886086716665e-12
1566.6666666666667,4,5,3,2,1.7830294051835325e-12
1566.6666666666667,4,5,4,3,2.460746869727395e-12
1566.6666666666667,4,5,5,4,3.1344353664857838e-12
1566.6666666666667,4,5,6,5,3.772563718018491e-12
1566.6666666666667,5,4,0,1,5.310747767815553e-13
1566.6666666666667,5,4,1,2,1.1313886086716665e-12
1566.6666666666667,5,4,2,3,1.7830294051835325e-12
1566.6666666666667,5,4,3,4,2.460746869727395e-12
1566.6666666666667,5,4,4,5,3.1344353664857838e-12
1566.6666666666667,5,4,5,6,3.772563718018491e-12
1566.6666666666667,5,6,1,0,6.031813108260034e-13
1566.6666666666667,5,6,2,1,1.3018755540115723e-12
1566.6666666666667,5,6,3,2,2.0809671689187573e-12
1566.6666666666667,5,6,4,3,2.9155725315894194e-12
1566.6666666666667,5,6,5,4,3.772563718018491e-12
1566.6666666666667,5,6,6,5,4.613473424267292e-12
1566.6666666666667,6,5,0,1,6.031813108260034e-13
1566.6666666666667,6,5,1,2,1.3018755540115723e-12
1566.6666666666667,6,5,2,3,2.0809671689187573e-12
1566.6666666666667,6,5,3,4,2.9155725315894194e-12
1566.6666666666667,6,5,4,5,3.772563718018491e-12
1566.6666666666667,6,5,5,6,4.613473424267292e-12
2200.0,0,1,1,0,1.7936326137799387e-13
2200.0,0,1,2,1,3.603739509034962e-13
2200.0,0,1,3,2,5.371693097124402e-13
2200.0,0,1,4,3,7.041376597326924e-13
2200.0,0,1,5,4,8.564693859312343e-13
2200.0,0,1,6,5,9.904595771109138e-13
2200.0,1,0,0,1,1.7936326137799387e-13
2200.0,1,0,1,2,3.603739509034962e-13
2200.0,1,0,2,3,5.371693097124402e-13
