499.99999999999994,1.129300138724052e-17,3.0736035049930964e-17,6.28073657589958e-17,1.1420412487500606e-16,1.9488666691903538e-16,3.19600223233094e-16,5.100877687607601e-16,7.983023357082307e-16,1.231062143806852e-15
547.4746205491493,2.1871476835116783e-17,5.8841077844418e-17,1.1884100855895785e-16,2.1355904630672683e-16,3.601261295864468e-16,5.835392994527662e-16,9.201335653596545e-16,1.4225473798452733e-15,2.1668110310387208e-15
601.1548175998042,4.231698327593659e-17,1.1253420871382112e-16,2.2464482387449907e-16,3.9896196970150856e-16,6.648249109462594e-16,1.0644268977044142e-15,1.6582185939455446e-15,2.5325201775315745e-15,3.810223093893771e-15
662.0885869815841,8.178924838082362e-17,2.149989273332114e-16,4.2420612120022145e-16,7.445567746236358e-16,1.2260686053445838e-15,1.9396263404343778e-15,2.9853167169762736e-15,4.50399114542337e-15,6.693270027958739e-15
731.5436863742898,1.5790494150279391e-16,4.1030624340208886e-16,8.001645531258439e-16,1.387993251932139e-15,2.258636560159206e-15,3.5305692659949802e-15,5.368626565447803e-15,8.001387802206386e-15,1.1744856589366633e-14
811.0633343087334,3.0449534146404204e-16,7.821072488081992e-16,1.507538625056785e-15,2.5844222610343705e-15,4.1558864804678825e-15,6.4188252615702595e-15,9.643123248649596e-15,1.419748830474734e-14,2.058406606734668e-14
902.5386450800015,5.86422261310156e-16,1.488910131348254e-15,2.836612248284638e-15,4.805953506070754e-15,7.63690980182239e-15,1.1654636525568212e-14,1.729813268137057e-14,2.515811835259552e-14,3.602692943357548e-14
1008.3036760956478,1.12780242202254e-15,2.8304788881865216e-15,5.329865573878957e-15,8.924313694709428e-15,1.4013417298608374e-14,2.113033041063418e-14,3.0983873079099885e-14,4.45132103392231e-14,6.295860281792521e-14
1131.2613493223796,2.1656067798947083e-15,5.372396620492877e-15,9.99863375222887e-15,1.654505543085602e-14,2.5671846273401802e-14,3.824612406757107e-14,5.5402713474182574e-14,7.862163187420168e-14,1.0982647125527333e-13
1275.0520032376717,4.151042421695866e-15,1.017875472455245e-14,1.8722735168687338e-14,3.0616102350703957e-14,4.693973568969914e-14,6.909066323228195e-14,9.886794226937572e-14,1.3858003299823382e-13,1.9117838711176336e-13
1444.2815238469886,7.94031118704149e-15,1.9244396483253006e-14,3.4983177055199906e-14,5.6528706562305234e-14,8.563191173326417e-14,1.2451869217246122e-13,1.7600815934092166e-13,2.436573580840228e-13,3.3193736628417353e-13
1644.8338334994805,1.5151008549876427e-14,3.629179080314069e-14,6.519466643139833e-14,1.0409192958459328e-13,1.5578408416715924e-13,2.2377078442305007e-13,3.1240835718699327e-13,4.2709810955510776e-13,5.745098295776395e-13
1884.304516807693,2.88215273589594e-14,6.822483951363764e-14,1.2110187643982938e-13,1.9103125758698111e-13,2.8242346440877096e-13,4.006922852033705e-13,5.524558784370291e-13,7.457707220616611e-13,9.90401368714158e-13
2172.611079273211,5.461446529096559e-14,1.2774250742909578e-13,2.2402132365075692e-13,3.4908395754329166e-13,5.097446446030631e-13,7.142116259712286e-13,9.723293431721004e-13,1.2958512472745642e-12,1.6987433884614422e-12
2522.8650838623353,1.029702760726706e-13,2.379401943464543e-13,4.121838697858924e-13,6.343664727986226e-13,9.147651395324017e-13,1.2655140143310128e-12,1.7008727644360513e-12,2.237516547847091e-12,2.8948435940229365e-12
2952.639687136438,1.9285371508242912e-13,4.401686933733988e-13,7.530387376095471e-13,1.1444062039864019e-12,1.6292997151971203e-12,2.2250857533236143e-12,2.951729893041334e-12,3.832061503680838e-12,4.892033391161537e-12
3485.846233602914,3.580036002189473e-13,8.068688402444009e-13,1.3629057582255764e-12,2.044717737296915e-12,2.873416754779917e-12,3.87283398127542e-12,5.069717626738034e-12,6.493907817652089e-12,8.178475928351588e-12
4155.569951139575,6.567136959206805e-13,1.4611431902293963e-12,2.436129924286808e-12,3.607089942545535e-12,5.002145357120888e-12,6.6522260065879176e-12,8.591130492889143e-12,1.0855534129624702e-11,1.3484929719722214e-11
5008.4533905701865,1.1856385543695123e-12,2.603430322856193e-12,4.283327395784341e-12,6.2577437249155315e-12,8.561530601836778e-12,1.1231897192163718e-11,1.4308265499208316e-11,1.7832048590742655e-11,2.1846340690688772e-11
6111.646674179154,2.0959011838741566e-12,4.540829989668201e-12,7.370610960161936e-12,1.0622769373017975e-11,1.4336298578559139e-11,1.8551358688380377e-11,2.3308900060042876e-11,2.8650205832612005e-11,3.46163490012162e-11
7564.147178230429,3.60435381596588e-12,7.703730877021543e-12,1.2335493154466068e-11,1.7537167635727897e-11,2.3346019651715166e-11,2.979856648132078e-11,3.693003151885796e-11,4.4773740983434137e-11,5.336046715912055e-11
9515.910601634525,5.983236541889195e-12,1.2616360895267971e-11,1.9930166845267454e-11,2.7953529974545533e-11,3.671290119438744e-11,4.623177373255721e-11,5.653013007104644e-11,6.762387692561616e-11,7.952427803545436e-11
12201.277224063118,9.50039903390337e-12,1.9769191568117947e-11,3.08200351689577e-11,4.26627604895672e-11,5.53029752270148e-11,6.874168424040385e-11,8.29749342561728e-11,9.799349229042549e-11,1.1378256751251366e-10
15999.999999999993,1.4281100905734753e-11,2.9344238576717467e-11,4.517729679168067e-11,6.176360829826378e-11,7.908183202603831e-11,9.710587378939099e-11,1.158048558839443e-10,1.351431407639709e-10,1.5508041363456217e-10
