1000.0,9.630706921459107e-14
1736.842105263158,2.174447806208221e-13
2473.684210526316,3.6367405507730545e-13
3210.5263157894738,5.287390715895723e-13
3947.3684210526317,7.086072248053026e-13
4684.21052631579,9.003743052594541e-13
5421.0526315789475,1.1018142484417252e-12
6157.894736842105,1.311151711381472e-12
6894.736842105263,1.5269317687615418e-12
7631.578947368422,1.7479384972966076e-12
8368.42105263158,1.973140763082126e-12
9105.263157894737,2.2016543149879227e-12
9842.105263157895,2.4327142335294556e-12
10578.947368421053,2.665654267848685e-12
11315.78947368421,2.89989093198871e-12
12052.631578947368,3.1349109958963657e-12
12789.473684210527,3.3702614641986843e-12
13526.315789473685,3.6055414210111004e-12
14263.157894736843,3.840395302998007e-12
15000.0,4.0745072851402636e-12
