i1,f1,i2,f2,a_0,a_1,a_2,a_3,a_4,a_5,a_6
2,1,3,4,-19.266127800285304,-210.6057951673249,2547.2997775617105,-23021.552665587697,134035.11576116958,-449337.1286645587,655547.0972176541
2,1,4,5,-19.173088198694334,-202.52272061232046,2346.4358468796877,-20342.59526541672,112628.23242283583,-359534.81635020254,500747.9854273977
2,1,5,6,-19.10905163841382,-195.11165633865383,2162.647953409935,-17922.15598659027,92946.15374275633,-275672.72947716404,354974.97490313073
2,3,1,0,-19.81963307948238,-236.26685230433378,3187.122253843452,-31769.995672669636,202191.57222655808,-733358.9248702948,1146417.04967648
2,3,2,1,-19.406937861557093,-219.6398449970403,2772.0925862234712,-26052.557738927102,157933.16604110092,-548945.6426747564,827253.1812747334
2,3,3,2,-19.214060945674643,-206.92520877472967,2456.017230396163,-21727.993549681316,124403.83801787003,-409429.64548352506,586373.0282642519
2,3,4,3,-19.104856517801583,-196.17334900106718,2189.708504044036,-18118.23023458987,96295.37557448546,-292671.71063561394,385143.2546421134
2,3,5,4,-19.03902581416102,-186.63418976573172,1954.1922947287135,-14960.3387529815,71529.46881147682,-189845.76101619203,208425.99950108386
2,3,6,5,-18.999479440126184,-177.92034089431178,1739.5499855662574,-12113.628547997278,48942.219381333154,-95544.75811669168,46432.687868440276
3,2,0,1,-19.81963307948238,-236.26685230433378,3187.122253843452,-31769.995672669636,202191.57222655808,-733358.9248702948,1146417.04967648
3,2,1,2,-19.406937861557093,-219.6398449970403,2772.0925862234712,-26052.557738927102,157933.16604110092,-548945.6426747564,827253.1812747334
3,2,2,3,-19.214060945674643,-206.92520877472967,2456.017230396163,-21727.993549681316,124403.83801787003,-409429.64548352506,586373.0282642519
3,2,3,4,-19.104856517801583,-196.17334900106718,2189.708504044036,-18118.23023458987,96295.37557448546,-292671.71063561394,385143.2546421134
3,2,4,5,-19.03902581416102,-186.63418976573172,1954.1922947287135,-14960.3387529815,71529.46881147682,-189845.76101619203,208425.99950108386
3,2,5,6,-18.999479440126184,-177.92034089431178,1739.5499855662574,-12113.628547997278,48942.219381333154,-95544.75811669168,46432.687868440276
3,4,1,0,-19.63563851682534,-229.62012371121207,3020.6183562981887,-29545.448760569063,184230.48189658916,-657602.6594919667,1015460.5417591777
3,4,2,1,-19.266127800285304,-210.6057951673249,2547.2997775617105,-23021.552665587697,134035.11576116958,-449337.1286645587,655547.0972176541
3,4,3,2,-19.104856517801583,-196.17334900106718,2189.708504044036,-18118.23023458987,96295.37557448546,-292671.71063561394,385143.2546421134
3,4,4,3,-19.021343503403457,-184.04727205876335,1890.5362864150502,-14048.16318142331,64890.92917052255,-162478.0724986455,161015.08942005996
3,4,5,4,-18.978337503364376,-173.2869783680927,1625.7054074853932,-10475.113809593253,37161.36128982283,-47579.97191181904,-36647.39098478736
