T,i1,f1,i2,f2,k_VV
4100.0,2,1,3,0,5.883395508735446e-17
4100.0,3,1,4,0,1.1740568024662683e-17
4100.0,3,2,4,1,4.321097467090393e-16
4100.0,4,1,5,0,2.935698839679451e-18
4100.0,4,2,5,1,1.4357028930939316e-16
4100.0,4,3,5,2,1.7669424557905858e-15
4100.0,5,1,6,0,8.010223148040954e-19
4100.0,5,2,6,1,5.417460680876375e-17
4100.0,5,3,6,2,8.801257714693736e-16
4100.0,5,4,6,3,5.426436400335594e-15
4371.428571428572,2,1,3,0,9.366407609552825e-17
4371.428571428572,3,1,4,0,1.8957402587964253e-17
4371.428571428572,3,2,4,1,6.834793568823385e-16
4371.428571428572,4,1,5,0,4.855418864977164e-18
4371.428571428572,4,2,5,1,2.302907657614384e-16
4371.428571428572,4,3,5,2,2.7771817529046363e-15
4371.428571428572,5,1,6,0,1.3685244262456814e-18
4371.428571428572,5,2,6,1,8.901705902930237e-17
4371.428571428572,5,3,6,2,1.4026301135153406e-15
4371.428571428572,5,4,6,3,8.475632228105006e-15
4642.857142857143,2,1,3,0,1.4362340892361878e-16
4642.857142857143,3,1,4,0,2.9485911600942507e-17
4642.857142857143,3,2,4,1,1.0416666480789855e-15
4642.857142857143,4,1,5,0,7.731578730854314e-18
4642.857142857143,4,2,5,1,3.5595759206909613e-16
4642.857142857143,4,3,5,2,4.207525684816679e-15
4642.857142857143,5,1,6,0,2.248637899661073e-18
4642.857142857143,5,2,6,1,1.4087452855481883e-16
4642.857142857143,5,3,6,2,2.1548513511561743e-15
4642.857142857143,5,4,6,3,1.2765603539861517e-14
4914.285714285715,2,1,3,0,2.1317427622841535e-16
4914.285714285715,3,1,4,0,4.439436398167966e-17
4914.285714285715,3,2,4,1,1.5372074377084832e-15
4914.285714285715,4,1,5,0,1.191158357470581e-17
4914.285714285715,4,2,5,1,5.327694565469629e-16
4914.285714285715,4,3,5,2,6.174416845770803e-15
4914.285714285715,5,1,6,0,3.5711339308729006e-18
4914.285714285715,5,2,6,1,2.1576729388663744e-16
4914.285714285715,5,3,6,2,3.20667179268634e-15
