499.99999999999994,4.46151787994524e-14,1.1602751384872116e-13,2.2547531818439639e-13
547.4746205491493,6.077015464027722e-14,1.5587446060534732e-13,2.9870607550998265e-13
601.1548175998042,8.269334805185403e-14,2.0920812163811794e-13,3.9536997527373226e-13
662.0885869815841,1.1240080602512936e-13,2.8049235416302064e-13,5.227950995850545e-13
731.5436863742898,1.5258871056040055e-13,3.756142072189932e-13,6.90513757023931e-13
811.0633343087334,2.0684847576155453e-13,5.023072094572383e-13,9.108784188453422e-13
902.5386450800015,2.7994118097411415e-13,6.706828176452818e-13,1.199823320820673e-12
1008.3036760956478,3.7814224508858026e-13,8.938868619533072e-13,1.577790488890138e-12
1131.2613493223796,5.096655032904876e-13,1.1888931251996379e-12,2.070830783287508e-12
1275.0520032376717,6.851707159444011e-13,1.5774350002704211e-12,2.711873265557096e-12
1444.2815238469886,9.183477381305864e-13,2.0870544483052727e-12,3.5421244325467977e-12
1644.8338334994805,1.2265508471806578e-12,2.7522095489668605e-12,4.612505151769337e-12
1884.304516807693,1.6314236953945652e-12,3.615320243776519e-12,5.984947519717926e-12
2172.611079273211,2.1594036398664405e-12,4.7275371129726245e-12,7.73324392688071e-12
2522.8650838623353,2.841917942047476e-12,6.14887991412324e-12,9.942952243892591e-12
2952.639687136438,3.714978548810584e-12,7.947201978847933e-12,1.2709600851119112e-11
3485.846233602914,4.8177455194088455e-12,1.0195189880618938e-11,1.6134098312852384e-11
4155.569951139575,6.189469175970041e-12,1.2964316438156028e-11,2.0313847237628226e-11
5008.4533905701865,7.864063932943312e-12,1.631437389028582e-11,2.5327648686996793e-11
6111.646674179154,9.861475173057764e-12,2.027703596800846e-11,3.121221830825697e-11
7564.147178230429,1.2175104019738702e-11,2.4832074835666327e-11,3.792836323895226e-11
9515.910601634525,1.475509958769864e-11,2.9875865665800255e-11,4.5316281427644315e-11
12201.277224063118,1.7488755037374173e-11,3.518451615690463e-11,5.304332839545685e-11
15999.999999999993,2.0182258904891772e-11,4.0379760001278463e-11,6.055602117000418e-11
