i1,f1,i2,f2,a_0,a_1,a_2,a_3,a_4,a_5,a_6
2,3,3,2,-23.679173820638884,221.60730529263364,-8646.761875356748,130747.10339013996,-1051719.9190274074,4401237.447962916,-7531264.630366984
3,2,4,5,-25.81701291305111,368.2405222861124,-12176.384434342022,177262.57279795656,-1400917.9819626329,5800167.433925663,-9853870.880545048
2,3,4,3,-24.806838072010265,300.2410157154126,-10546.491086982567,155864.0603011896,-1240618.049099994,5159296.106245676,-8791701.731533565
2,3,5,4,-25.81701291305111,368.2405222861124,-12176.384434342022,177262.57279795656,-1400917.9819626329,5800167.433925663,-9853870.880545048
4,3,0,1,-21.405951741321097,48.71750627632066,-4417.753873160855,74192.34905130991,-623893.4622645235,2674180.154568161,-4645040.329308832
4,3,1,2,-23.306551594212923,194.55951482560704,-7989.790970475228,121986.84986600786,-985908.8204044508,4136481.600518581,-7089910.601274301
3,4,1,0,-21.405951741321097,48.71750627632066,-4417.753873160855,74192.34905130991,-623893.4622645235,2674180.154568161,-4645040.329308832
4,3,2,3,-24.806838072010265,300.2410157154126,-10546.491086982567,155864.0603011896,-1240618.049099994,5159296.106245676,-8791701.731533565
3,4,2,1,-23.306551594212923,194.55951482560704,-7989.790970475228,121986.84986600786,-985908.8204044508,4136481.600518581,-7089910.601274301
4,3,3,4,-26.08234330639597,385.95448869484744,-12598.747935263409,182826.30573843437,-1442144.3953373453,5964507.167094944,-10125932.276521206
3,4,3,2,-24.806838072010265,300.2410157154126,-10546.491086982567,155864.0603011896,-1240618.049099994,5159296.106245676,-8791701.731533565
4,3,4,5,-27.212038354331785,459.43522897502794,-14342.175704429168,205553.51162335905,-1611195.8796006616,6637013.757850701,-11236374.794655683
3,4,4,3,-26.08234330639597,385.95448869484744,-12598.747935263409,182826.30573843437,-1442144.3953373453,5964507.167094944,-10125932.276521206
3,4,5,4,-27.212038354331785,459.43522897502794,-14342.175704429168,205553.51162335905,-1611195.8796006616,6637013.757850701,-11236374.794655683
5,4,0,1,-22.007643078899783,96.1302622975972,-5584.709661296849,89795.89853850823,-743124.9156075475,3158051.0952842208,-5455726.434382668
5,4,1,2,-24.15640150914445,254.78543731027818,-9450.6143980025,141326.0684980701,-1132027.9949865874,4724340.236606132,-8068642.656303069
4,5,1,0,-22.007643078899783,96.1302622975972,-5584.709661296849,89795.89853850823,-743124.9156075475,3158051.0952842208,-5455726.434382668
5,4,2,3,-25.81701291305111,368.2405222861124,-12176.384434342022,177262.57279795656,-1400917.9819626329,5800167.433925663,-9853870.880545048
4,5,2,1,-24.15640150914445,254.78543731027818,-9450.6143980025,141326.0684980701,-1132027.9949865874,4724340.236606132,-8068642.656303069
5,4,3,4,-27.212038354331785,459.43522897502794,-14342.175704429168,205553.51162335905,-1611195.8796006616,6637013.757850701,-11236374.794655683
4,5,3,2,-25.81701291305111,368.2405222861124,-12176.384434342022,177262.57279795656,-1400917.9819626329,5800167.433925663,-9853870.880545048
5,4,4,5,-28.43729550989132,537.0700188832694,-16167.417578176328,229196.86188114475,-1785957.7405432938,7329208.737070685,-12375429.365611006
4,5,4,3,-27.212038354331785,459.43522897502794,-14342.175704429168,205553.51162335905,-1611195.8796006616,6637013.757850701,-11236374.794655683
4,5,5,4,-28.43729550989132,537.0700188832694,-16167.417578176328,229196.86188114475,-1785957.7405432938,7329208.737070685,-12375429.365611006
