i1,f1,i2,f2,a_0,a_1,a_2,a_3,a_4,a_5,a_6
1,2,2,1,-18.780964116023505,-301.15578742723255,4317.788648714851,-44273.30211646586,285642.2706544862,-1035658.367275582,1603371.8327890486
2,1,3,4,-18.083443544741588,-299.93705693613884,4287.256944300848,-43908.39189023738,282425.819963722,-1022385.7310620813,1581307.446783831
1,2,3,2,-18.373243638442563,-300.5583255794709,4302.86594703109,-44083.55976375866,284087.28409105766,-1029312.3996055095,1592720.7478127202
2,1,4,5,-17.858339512716,-299.28790130925563,4270.724647550046,-43740.83813388205,280544.60356775427,-1013879.0990877516,1567002.0055386503
1,2,4,3,-18.083443544741588,-299.93705693613884,4287.256944300848,-43908.39189023738,282425.819963722,-1022385.7310620813,1581307.446783831
1,2,5,4,-17.858339512716,-299.28790130925563,4270.724647550046,-43740.83813388205,280544.60356775427,-1013879.0990877516,1567002.0055386503
3,2,0,1,-19.468549130762845,-278.27637293373124,3747.644533161524,-36597.63105153187,226403.7174550204,-794113.1336617229,1197075.3776401246
3,2,1,2,-18.777619829368877,-277.45044807919777,3727.2125133247314,-36284.60759948385,224324.68548475407,-785799.622632713,1182837.1990619123
2,3,1,0,-19.468549130762845,-278.27637293373124,3747.644533161524,-36597.63105153187,226403.7174550204,-794113.1336617229,1197075.3776401246
3,2,2,3,-18.37457977389506,-276.59594765840137,3705.990842752223,-35984.95185377635,222131.2593430945,-776878.123826778,1167798.446441584
2,3,2,1,-18.777619829368877,-277.45044807919777,3727.2125133247314,-36284.60759948385,224324.68548475407,-785799.622632713,1182837.1990619123
3,2,3,4,-18.089469450834294,-275.7182151681258,3684.194082612461,-35703.18839753085,219877.67387387893,-767706.4351488496,1152418.6853373505
2,3,3,2,-18.37457977389506,-276.59594765840137,3705.990842752223,-35984.95185377635,222131.2593430945,-776878.123826778,1167798.446441584
3,2,4,5,-17.869133285824063,-274.80917178558553,3661.5346225475796,-35433.73680636386,217501.1081233193,-757889.8819887142,1136173.3667881866
2,3,4,3,-18.089469450834294,-275.7182151681258,3684.194082612461,-35703.18839753085,219877.67387387893,-767706.4351488496,1152418.6853373505
2,3,5,4,-17.869133285824063,-274.80917178558553,3661.5346225475796,-35433.73680636386,217501.1081233193,-757889.8819887142,1136173.3667881866
4,3,0,1,-19.568325541861714,-255.54411384552517,3184.190306507762,-29053.456746190186,168192.57842682794,-556710.0637223427,798329.6410941704
4,3,1,2,-18.881450311091637,-254.51275462521295,3159.064098470535,-28658.751181219133,165778.3159760777,-547756.2507192367,783301.9896442529
3,4,1,0,-19.568325541861714,-255.54411384552517,3184.190306507762,-29053.456746190186,168192.57842682794,-556710.0637223427,798329.6410941704
4,3,2,3,-18.48261964507931,-253.4389700384902,3132.649103621887,-28266.640616321944,163104.9643156423,-537058.503261951,765100.4630842134
3,4,2,1,-18.881450311091637,-254.51275462521295,3159.064098470535,-28658.751181219133,165778.3159760777,-547756.2507192367,783301.9896442529
4,3,3,4,-18.20187843501208,-252.32913073533254,3105.2678400153486,-27885.611681790706,160300.33733563466,-525686.1618587321,745989.3433962929
3,4,3,2,-18.48261964507931,-253.4389700384902,3132.649103621887,-28266.640616321944,163104.9643156423,-537058.503261951,765100.4630842134
4,3,4,5,-17.98593689431103,-251.187425475914,3077.1010827647924,-27519.661099434765,157414.12641214932,-513976.5378676155,726390.5801572241
3,4,4,3,-18.20187843501208,-252.32913073533254,3105.2678400153486,-27885.611681790706,160300.33733563466,-525686.1618587321,745989.3433962929
3,4,5,4,-17.98593689431103,-251.187425475914,3077.1010827647924,-27519.661099434765,157414.12641214932,-513976.5378676155,726390.5801572241
5,4,0,1,-19.721885496701294,-233.58262970085988,2643.295838061166,-21871.612163504262,112661.78221894188,-329589.07194006105,416414.02433442214
5,4,1,2,-19.039045741054,-232.34466304162385,2613.2602663963794,-21390.666444010378,109901.6554590425,-320564.53248830134,402675.8397412593
4,5,1,0,-19.721885496701294,-233.58262970085988,2643.295838061166,-21871.612163504262,112661.78221894188,-329589.07194006105,416414.02433442214
5,4,2,3,-18.64393909484734,-231.09110538500332,2582.8717810892185,-20927.447033671393,106978.89157702826,-309591.129909181,384317.93606544344
4,5,2,1,-19.039045741054,-232.34466304162385,2613.2602663963794,-21390.666444010378,109901.6554590425,-320564.53248830134,402675.8397412593
5,4,3,4,-18.36706242999407,-229.78890369763002,2551.058944499308,-20465.215284286434,103786.1154103388,-296834.24563535885,362727.0522660196
4,5,3,2,-18.64393909484734,-231.09110538500332,2582.8717810892185,-20927.447033671393,106978.89157702826,-309591.129909181,384317.93606544344
5,4,4,5,-18.155147638804706,-228.44194087142418,2518.0686457672746,-20011.24557701758,100440.556812579,-283315.10838677024,340078.554940201
4,5,4,3,-18.36706242999407,-229.78890369763002,2551.058944499308,-20465.215284286434,103786.1154103388,-296834.24563535885,362727.0522660196
4,5,5,4,-18.155147638804706,-228.44194087142418,2518.0686457672746,-20011.24557701758,100440.556812579,-283315.10838677024,340078.554940201
